rank,img,title,artists,album
105,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/762/577/83762577_1682297728199_1_140x140.JPG/dims/resize/Q_80,0",I Don't Understand But I Luv U,세븐틴 (SEVENTEEN),SEVENTEEN 10th Mini Album 'FML'
106,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/762/577/83762577_1682297728199_1_140x140.JPG/dims/resize/Q_80,0",Fire,세븐틴 (SEVENTEEN),SEVENTEEN 10th Mini Album 'FML'
107,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/110/115/82110115_1654161923419_1_140x140.JPG/dims/resize/Q_80,0",Bad Habits,Ed Sheeran,=
108,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/662/688/82662688_1651196114166_1_140x140.JPG/dims/resize/Q_80,0",That That (Prod. & Feat. SUGA of BTS),싸이 (Psy),싸다9
109,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/297/613/81297613_1574066356132_1_140x140.JPG/dims/resize/Q_80,0",Blueming,아이유 (IU),Love poem
110,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/024/008/83024008_1664434674893_1_140x140.JPG/dims/resize/Q_80,0",자격지심 (Feat. ZICO),BE'O (비오),FIVE SENSES
111,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/172/042/81172042_1552452730746_1_140x140.JPG/dims/resize/Q_80,0",주저하는 연인들을 위해,잔나비,전설
112,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/051/809/81051809_1588127109810_1_140x140.JPG/dims/resize/Q_80,0",Bad,Christopher,Under the Surface
113,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/196/201/83196201_1671520555194_1_140x140.JPG/dims/resize/Q_80,0",Dreamers (Music from the FIFA World Cup Qatar 2022 Official Soundtrack) (Feat. FIFA Sound),정국 & 방탄소년단,Dreamers (Music from the FIFA World Cup Qatar 2022 Official Soundtrack)
114,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/644/646/82644646_1650435003028_1_140x140.JPG/dims/resize/Q_80,0",Love story,볼빨간사춘기,Seoul
